daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.1,1123,2012-04-25 18:03:58.038,24062,393,6,10.2.0.2,22
10.2.0.2,53,2012-04-25 18:03:59.039,79,1,17,10.2.0.1,49805
10.2.0.1,49805,2012-04-25 18:03:59.039,79,1,17,10.2.0.2,53
10.2.0.2,22,2012-04-25 18:03:59.039,556162,369,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:59.039,14720,238,6,10.2.0.2,22
10.2.0.2,53,2012-04-25 18:03:59.039,75,1,17,10.2.0.1,57862
10.2.0.1,57862,2012-04-25 18:03:59.039,75,1,17,10.2.0.2,53
10.2.0.1,1099,2012-04-25 18:04:00.041,472,4,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:00.041,1514,1,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:04:00.041,54,1,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:00.041,510,5,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:04:01.043,118,1,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:01.043,3028,2,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:04:01.044,108,2,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:01.044,54,1,6,10.2.0.1,1099
10.2.0.2,22,2012-04-25 18:04:04.047,426020,282,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:04:04.047,10636,172,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:05.048,78666,53,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:04:05.048,3108,48,6,10.2.0.2,22
10.2.0.1,1099,2012-04-25 18:04:06.05,150,1,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:06.05,28924,26,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:04:06.05,3112,26,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:04:06.05,134,1,6,10.2.0.1,1099
